what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1268982579156
locale,sysinfo,,,"en_US",1268982579156
processors,sysinfo,,,"2",1268982579156
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1268982579156
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1268982579156
java.specification.name,sysinfo,,,"Java Platform API Specification",1268982579156
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1268982579156
java.specification.version,sysinfo,,,"1.6",1268982579156
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1268982579156
java.version,sysinfo,,,"1.6.0_18",1268982579156
java.vm.info,sysinfo,,,"mixed mode",1268982579156
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1268982579156
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1268982579156
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1268982579156
java.vm.specification.version,sysinfo,,,"1.0",1268982579156
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1268982579156
java.vm.version,sysinfo,,,"16.0-b13",1268982579156
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268986287625
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268986314187
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1268986314234
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268986317468
started,bundle,org.eclipse.wst.common.environment,1.0.301.v200908101600,"org.eclipse.wst.common.environment",1268986321796
started,bundle,org.eclipse.wst.server.core,1.1.102.v20090825,"org.eclipse.wst.server.core",1268986322000
started,bundle,org.eclipse.jst.j2ee.web,1.1.301.v200908270924,"org.eclipse.jst.j2ee.web",1268986322031
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui",1268986322109
