what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1272614420468
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1272614546656
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272614560703
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272614644484
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1272614644484
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1272614665703
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272614672234
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272614672265
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272614672296
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272616975906
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272616977343
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272616977375
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272616977468
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272617298531
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272617302984
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272617303187
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1272617306093
started,bundle,org.eclipse.jpt.ui,2.2.2.v200911250220,"org.eclipse.jpt.ui",1272617309296
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.0.I20090429-1800,"org.eclipse.ui.views.properties.tabbed",1272617309328
started,bundle,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui",1272617309687
started,bundle,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.ui",1272617310218
started,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1272617311046
started,bundle,org.eclipse.xsd,2.5.0.v200906151043,"org.eclipse.xsd",1272617311062
