"OBJECTTYPE"	"PROPERTY"	"LISTDISPNAME"	"LANG"	"DISPNAME"	"VALUE"	"DEPON"	"DEPVALUE"
"ClubsScoities"	"PartnerType"	"PartnerTypes"	"en_US"	"05:INDIVIDUALS"	"05:INDIVIDUALS"	""	""
"ClubsScoities"	"PartnerType"	"PartnerTypes"	"en_US"	"01:LIMITED LIABILITY COMPANY"	"01:LIMITED LIABILITY COMPANY"	""	""
"ClubsScoities"	"PartnerType"	"PartnerTypes"	"en_US"	"02:PARTNERSHIP"	"02:PARTNERSHIP"	""	""
"ClubsScoities"	"PartnerType"	"PartnerTypes"	"en_US"	"03:CLUBS SOCITIES"	"03:CLUBS SOCITIES"	""	""
"ClubsScoities"	"PartnerType"	"PartnerTypes"	"en_US"	"04:SOLE PROPRIETORS"	"04:SOLE PROPRIETORS"	""	""
"ClubsScoities"	"ProficientCode"	"ProficientCodes"	"en_US"	"05:INDIVIDUALS"	"05:INDIVIDUALS"	""	""
"ClubsScoities"	"ProficientCode"	"ProficientCodes"	"en_US"	"01:LIMITED LIABILITY COMPANY"	"01:LIMITED LIABILITY COMPANY"	""	""
"ClubsScoities"	"ProficientCode"	"ProficientCodes"	"en_US"	"02:PARTNERSHIP"	"02:PARTNERSHIP"	""	""
"ClubsScoities"	"ProficientCode"	"ProficientCodes"	"en_US"	"03:CLUBS SOCITIES"	"03:CLUBS SOCITIES"	""	""
"ClubsScoities"	"ProficientCode"	"ProficientCodes"	"en_US"	"04:SOLE PROPRIETORS"	"04:SOLE PROPRIETORS"	""	""
"ClubsScoities"	"ProficientCode"	"ProficientCodes"	"en_US"	"13:COMPANY EMPLOYEES"	"13:COMPANY EMPLOYEES"	""	""
"ClubsScoities"	"ProficientCode"	"ProficientCodes"	"en_US"	"15:PROFESSIONAL(DOCTORS&ETC)"	"15:PROFESSIONAL(DOCTORS&ETC)"	""	""
"ClubsScoities"	"ProficientCode"	"ProficientCodes"	"en_US"	"99:OTHERS"	"99:OTHERS"	""	""
"ClubsScoities"	"PreferedLanguage"	"PreferedLanguages"	"en_US"	"English"	"English"	""	""
"ClubsScoities"	"PreferedLanguage"	"PreferedLanguages"	"en_US"	"Sinhala"	"Sinhala"	""	""
"ClubsScoities"	"PreferedLanguage"	"PreferedLanguages"	"en_US"	"Tamil"	"Tamil"	""	""
"ClubsScoities"	"TaxPayer"	"TaxPayers"	"en_US"	"Y"	"Y"	""	""
"ClubsScoities"	"TaxPayer"	"TaxPayers"	"en_US"	"N"	"N"	""	""
"ClubsScoities"	"CRIBClearance"	"CRIBClearances"	"en_US"	"Y"	"Y"	""	""
"ClubsScoities"	"CRIBClearance"	"CRIBClearances"	"en_US"	"N"	"N"	""	""
"ClubsScoities"	"PreviouslyRejected"	"PreviouslyRejecteds"	"en_US"	"Y"	"Y"	""	""
"ClubsScoities"	"PreviouslyRejected"	"PreviouslyRejecteds"	"en_US"	"N"	"N"	""	""
"ClubsScoities"	"BlackListClearance"	"BlackListClearances"	"en_US"	"Y"	"Y"	""	""
"ClubsScoities"	"BlackListClearance"	"BlackListClearances"	"en_US"	"N"	"N"	""	""
"InvestigationDetails"	"InvestigationReport"	"InvestigationReports"	"en_US"	"Good"	"Good"	""	""
"InvestigationDetails"	"InvestigationReport"	"InvestigationReports"	"en_US"	"Satisfactory"	"Satisfactory"	""	""
"InvestigationDetails"	"InvestigationReport"	"InvestigationReports"	"en_US"	"Poor"	"Poor"	""	""
"IndividualDetails"	"ProficientCode"	"ProficientCodes"	"en_US"	"13:COMPANY EMPLOYEES"	"13:COMPANY EMPLOYEES"	""	""
"IndividualDetails"	"ProficientCode"	"ProficientCodes"	"en_US"	"15:PROFESSIONAL(DOCTORS&ETC)"	"15:PROFESSIONAL(DOCTORS&ETC)"	""	""
"IndividualDetails"	"ProficientCode"	"ProficientCodes"	"en_US"	"99:OTHERS"	"99:OTHERS"	""	""
"Partnership"	"PartnerType"	"PartnerTypes"	"en_US"	"05:INDIVIDUALS"	"05:INDIVIDUALS"	""	""
"Partnership"	"PartnerType"	"PartnerTypes"	"en_US"	"01:LIMITED LIABILITY COMPANY"	"01:LIMITED LIABILITY COMPANY"	""	""
"Partnership"	"PartnerType"	"PartnerTypes"	"en_US"	"02:PARTNERSHIP"	"02:PARTNERSHIP"	""	""
"Partnership"	"PartnerType"	"PartnerTypes"	"en_US"	"03:CLUBS SOCITIES"	"03:CLUBS SOCITIES"	""	""
"Partnership"	"PartnerType"	"PartnerTypes"	"en_US"	"04:SOLE PROPRIETORS"	"04:SOLE PROPRIETORS"	""	""
"SoleProprietors"	"PartnerType"	"PartnerTypes"	"en_US"	"05:INDIVIDUALS"	"05:INDIVIDUALS"	""	""
"SoleProprietors"	"PartnerType"	"PartnerTypes"	"en_US"	"01:LIMITED LIABILITY COMPANY"	"01:LIMITED LIABILITY COMPANY"	""	""
"SoleProprietors"	"PartnerType"	"PartnerTypes"	"en_US"	"02:PARTNERSHIP"	"02:PARTNERSHIP"	""	""
"SoleProprietors"	"PartnerType"	"PartnerTypes"	"en_US"	"03:CLUBS SOCITIES"	"03:CLUBS SOCITIES"	""	""
"SoleProprietors"	"PartnerType"	"PartnerTypes"	"en_US"	"04:SOLE PROPRIETORS"	"04:SOLE PROPRIETORS"	""	""
"LimitedLiabilityCompany"	"PartnerType"	"PartnerTypes"	"en_US"	"05:INDIVIDUALS"	"05:INDIVIDUALS"	""	""
"LimitedLiabilityCompany"	"PartnerType"	"PartnerTypes"	"en_US"	"01:LIMITED LIABILITY COMPANY"	"01:LIMITED LIABILITY COMPANY"	""	""
"LimitedLiabilityCompany"	"PartnerType"	"PartnerTypes"	"en_US"	"02:PARTNERSHIP"	"02:PARTNERSHIP"	""	""
"LimitedLiabilityCompany"	"PartnerType"	"PartnerTypes"	"en_US"	"03:CLUBS SOCITIES"	"03:CLUBS SOCITIES"	""	""
"LimitedLiabilityCompany"	"PartnerType"	"PartnerTypes"	"en_US"	"04:SOLE PROPRIETORS"	"04:SOLE PROPRIETORS"	""	""
"IndividualDetails"	"Title"	"Titles"	"en_US"	"Mr"	"Mr"	""	""
"IndividualDetails"	"Title"	"Titles"	"en_US"	"Mrs"	"Mrs"	""	""
"IndividualDetails"	"Title"	"Titles"	"en_US"	"Ms"	"Ms"	""	""
"IndividualDetails"	"Title"	"Titles"	"en_US"	"Dr"	"Dr"	""	""
"IndividualDetails"	"Title"	"Titles"	"en_US"	"Prof"	"Prof"	""	""
"IndividualDetails"	"Title"	"Titles"	"en_US"	"Rev"	"Rev"	""	""
"IndividualDetails"	"Title"	"Titles"	"en_US"	"Master"	"Master"	""	""
"IndividualDetails"	"Gender"	"Genders"	"en_US"	"Male"	"Male"	""	""
"IndividualDetails"	"Gender"	"Genders"	"en_US"	"Female"	"Female"	""	""
"IndividualDetails"	"CivilStatus"	"CivilStatu"	"en_US"	"Single"	"Single"	""	""
"IndividualDetails"	"CivilStatus"	"CivilStatu"	"en_US"	"Married "	"Married "	""	""
"IndividualDetails"	"CivilStatus"	"CivilStatu"	"en_US"	"Widowed"	"Widowed"	""	""
"IndividualDetails"	"OccupationOrProfession"	"OccupationOrProfessions"	"en_US"	"Businessman"	"Businessman"	""	""
"IndividualDetails"	"OccupationOrProfession"	"OccupationOrProfessions"	"en_US"	"Employed"	"Employed"	""	""
"IndividualDetails"	"OccupationOrProfession"	"OccupationOrProfessions"	"en_US"	"Self Employed"	"Self Employed"	""	""
"IndividualDetails"	"OccupationOrProfession"	"OccupationOrProfessions"	"en_US"	"Retired"	"Retired"	""	""
"IndividualDetails"	"OccupationOrProfession"	"OccupationOrProfessions"	"en_US"	"Semi Retired"	"Semi Retired"	""	""
"IndividualDetails"	"OccupationOrProfession"	"OccupationOrProfessions"	"en_US"	"Student"	"Student"	""	""
