"OBJECTTYPE","PROPERTY","DISPMODE","REQUIRED","HIDDEN","MAXVAL","MINVAL","MAXLEN","FORMAT","FORMATDESC","HASDEPENDANT","HASHIDDENDEPENDANT"
"CfAssest","sd","READWRITE","1","0",9999999999999,0,12,"","","0",""
"ClubsScoities","ContactPersonTPNo","READWRITE","0","0",9999999999,0,9,"\d{9}","9-NUMBER","0",""
"ClubsScoities","MobileNumberForSMSAlerts","READWRITE","0","0",9999999999,0,9,"\d{9}","9-NUMBER","0",""
"SupportingCR","VehicleNoReferanceNo","READWRITE","1","0",9,0,"","","","0",""
"SupportingCR","Make","READWRITE","1","0",20,0,"","","","0",""
"SupportingCR","Model","READWRITE","1","0",30,0,"","","","0",""
"SupportingCR","ChassisNo","READWRITE","1","0",30,0,"","","","0",""
"SupportingCR","EngineNo","READWRITE","1","0",30,0,"","","","0",""
"SupportingCR","FirstRegDate","READWRITE","1","0",10,0,"","","","0",""
"SupportingCR","YearofManufacture","READWRITE","1","0",10,0,"","","","0",""
"SupportingCR","SeatingCapacity","READWRITE","0","0",10,0,"","","","0",""
"SupportingCR","YearofManufacture","READWRITE","1","0",10,0,"","","","0",""
"SupportingCR","SeatingCapacity","READWRITE","0","0",10,0,"","","","0",""
"SupportingCR","Weight","READWRITE","1","0",10,0,"","","","0",""
"SupportingCR","Colour","READWRITE","1","0",20,0,"","","","0",""
"SupportingCR","CylinderCapacity","READWRITE","1","0",10,0,"","","","0",""
"CFProcess.Workflow.BranchManagerApproval","CaseStatus","READWRITE","1","0",0,0,0,"","","0",""
"CFProcess.Workflow.InitialPayments","VoucherDiscount","READWRITE","1","0",0,0,10,"","","0",""
"CFProcess.Workflow.InitialPayments","PrePaidRentals","READWRITE","1","0",1000000000,0,3,"","9-Numeric","0",""
"CFProcess.Workflow.InitialPayments","CribCharges","READWRITE","1","0",1000000000,0,3,"","9-Numeric","0",""
"CFProcess.Workflow.InitialPayments","CribChargesDeductable","READWRITE","1","0",999,0,3,"","","0",""
"CFProcess.Workflow.InitialPayments","CurrentMonthRental","READWRITE","1","0",1000000000,0,3,"","9-Numeric","0",""
"CFProcess.Workflow.InitialPayments","CurrentMonthRentalDeductable","READWRITE","1","0",999,0,3,"","","0",""
"CFProcess.Workflow.InitialPayments","OtherChargesDeductable","READWRITE","1","0",999,0,3,"","","0",""
"CFProcess.Workflow.InitialPayments","PrePaidRentalsDeductable","READWRITE","1","0",999,0,3,"","","0",""
"CFProcess.Workflow.InitialPayments","RMVCharges","READWRITE","1","0",1000000000,0,3,"","9-Numeric","0",""
"CFProcess.Workflow.InitialPayments","RMVChargesDeductable","READWRITE","1","0",999,0,3,"","","0",""
"CFProcess.Workflow.InitialPayments","SavingsDeposit","READWRITE","1","0",1000000000,0,3,"","9-Numeric","0",""
"CFProcess.Workflow.InitialPayments","SavingsDepositDeductable","READWRITE","1","0",999,0,3,"","","0",""
"CFProcess.Workflow.InitialPayments","ServiceCharges","READWRITE","1","0",999,0,3,"","9-Numeric","0",""
"CFProcess.Workflow.InitialPayments","ServiceChargesDeductable","READWRITE","1","0",999,0,3,"","","0",""
"CFProcess.Workflow.InitialPayments","SettlemetOfContract","READWRITE","1","0",1000000000,0,3,"","9-Numeric","0",""
"CFProcess.Workflow.InitialPayments","SettlemetOfContractDeductable","READWRITE","1","0",999,0,3,"","","0",""
"CFProcess.Workflow.InitialPayments","StampDuty","READWRITE","1","0",1000000000,0,3,"","9-Numeric","0",""
"CFProcess.Workflow.InitialPayments","StampDutyDeductable","READWRITE","1","0",999,0,3,"","","0",""
"CFProcess.Workflow.InitialPayments","TransportCharges","READWRITE","1","0",1000000000,0,3,"","9-Numeric","0",""
"CFProcess.Workflow.InitialPayments","TransportChargesDeductable","READWRITE","1","0",999,0,3,"","","0",""
"CFProcess.Workflow.InitialPayments","ValuationFee","READWRITE","1","0",1000000000,0,3,"","9-Numeric","0",""
"CFProcess.Workflow.InitialPayments","ValuationFeeDeductable","READWRITE","1","0",999,0,3,"","","0",""
"CFProcess.Workflow.InitialPayments","VATOnCurrentMonthRental","READWRITE","1","0",1000000000,0,3,"","9-Numeric","0",""
"CFProcess.Workflow.InitialPayments","VATOnCurrentMonthRentalDeductable","READWRITE","1","0",999,0,3,"","","0",""
"CFProcess.Workflow.InitialPayments","VATOnPrePaidRentals","READWRITE","1","0",1000000000,0,3,"","9-Numeric","0",""
"CFProcess.Workflow.InitialPayments","VATOnPrePaidRentalsDeductable","READWRITE","1","0",999,0,3,"","","0",""
"CFProcess.Workflow.InitialPayments","VatOnServiceOrTRCharges","READWRITE","1","0",1000000000,0,3,"","","0",""
"CFProcess.Workflow.InitialPayments","VatOnServiceOrTRChargesDeductable","READWRITE","1","0",999,0,3,"","9-Numeric","0",""
"CFProcess.Workflow.DeliveryOrder","EngineNo","READWRITE","0","0",30,0,0,"","","0",""
"CFProcess.Workflow.DeliveryOrder","YearOfManufacture","READWRITE","0","0",10,0,0,"","","0",""
"CFProcess.Workflow.DeliveryOrder","Colour","READWRITE","0","0",20,0,0,"","","0",""
"CFProcess.Workflow.DeliveryOrder","VehicleNoReferanceNo","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.DeliveryOrder","EquipmentType","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.DeliveryOrder","FacilityNumber","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.DeliveryOrder","SupplierAddress","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.DeliveryOrder","SupplierName","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.DeliveryOrder","SupplierIdRegno","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.PaymentMemo","CribCharges","READWRITE","1","0",999,0,3,"","","0",""
"CFProcess.Workflow.PaymentMemo","CurrentMonthRental","READWRITE","1","0",999,0,3,"","","0",""
"CFProcess.Workflow.PaymentMemo","RMVCharges","READWRITE","1","0",999,0,3,"","","0",""
"CFProcess.Workflow.PaymentMemo","SavingsDeposit","READWRITE","1","0",999,0,3,"","","0",""
"CFProcess.Workflow.PaymentMemo","ServiceCharges","READWRITE","1","0",999,0,3,"","","0",""
"CFProcess.Workflow.PaymentMemo","SettlemetOfContract","READWRITE","1","0",999,0,3,"","","0",""
"CFProcess.Workflow.PaymentMemo","StampDuty","READWRITE","1","0",999,0,3,"","","0",""
"CFProcess.Workflow.PaymentMemo","TransportCharges","READWRITE","1","0",999,0,3,"","","0",""
"CFProcess.Workflow.PaymentMemo","ValuationFee","READWRITE","1","0",999,0,3,"","","0",""
"CFProcess.Workflow.PaymentMemo","VATOnCurrentMonthRental","READWRITE","1","0",999,0,3,"","","0",""
"CFProcess.Workflow.PaymentMemo","VATOnPrePaidRentals","READWRITE","1","0",999,0,3,"","","0",""
"CFProcess.Workflow.PaymentMemo","VatOnServiceOrTRCharges","READWRITE","1","0",999,0,3,"","","0",""
"CFProcess.Workflow.BranchManager","PrePaidRentals","READWRITE","1","0",999,0,3,"","","0",""
"CFProcess.Workflow.BranchManager","IntrestRate","READWRITE","1","0",0,0,0,"","","0",""
"CFProcess.Workflow.BranchManager","LoanAmount","READWRITE","1","0",0,0,0,"","","0",""
"CFProcess.Workflow.BranchManager","LoanIntrestRate","READWRITE","1","0",0,0,0,"","","0",""
"CFProcess.Workflow.BranchManager","Rental","READWRITE","1","0",0,0,0,"","","0",""
"CFProcess.Workflow.BranchManager","LoanRental","READWRITE","1","0",0,0,0,"","","0",""
"CFProcess.Workflow.BranchManager","ResidualAmount","READWRITE","1","0",0,0,0,"","","0",""
"CFProcess.Workflow.BranchManager","MarketingOfficer","READWRITE","1","0",0,0,0,"","","0",""
"CFProcess.Workflow.BranchManager","Purpose","READWRITE","1","0",0,0,0,"","","0",""
"CFProcess.Workflow.BranchManager","InsuranceAmt","READWRITE","1","0",0,0,16,"","","0",""
"CFProcess.Workflow.BranchManager","LFOrHPCommission","READWRITE","1","0",0,0,16,"","","0",""
"CFProcess.Workflow.BranchManager","SLCommission","READWRITE","1","0",0,0,0,"","","0",""
"CFProcess.Workflow.BranchManager","TotalCommission","READWRITE","1","0",0,0,0,"","","0",""
"CFProcess.Workflow.BranchManager","ExposureOnSVRPercentage","READWRITE","1","0",0,0,0,"","","0",""
